Category,Item,Option,Quantity,Price Per Unit,Total Profit
Medicines,Family Planning,DMPA (Depotrust),22,495.45,"10,900.00"
Surgeon,Surgery Procedure (10500),N/A,1,"10,500.00","10,500.00"
Vaccines,GARDASIL 9 Vaccine,N/A,1,"10,000.00","10,000.00"
Medicines,Medicine,Ferrous + Folic Acid (Prenat),779,12.00,"9,348.00"
Laboratory,Clinical Chemistry,HIV Screening,14,650.00,"9,100.00"
Services,Laser Circumcision,N/A,2,"4,500.00","9,000.00"
Laboratory,Hematology,Complete Blood Count (CBC),22,400.00,"8,800.00"
Surgeon,Surgery Procedure (8500),N/A,1,"8,500.00","8,500.00"
Medicines,Medicine,Gestron,126,65.00,"8,190.00"
Services,Cardiology Consultation,N/A,11,701.27,"7,714.00"
Vaccines,MMR Vaccine,N/A,3,"2,500.00","7,500.00"
Laboratory,Clinical Chemistry,FBS,11,650.00,"7,150.00"
Vaccines,Varicella Vaccine,N/A,2,"3,500.00","7,000.00"
Ultrasound,Obstetrics and Gynecology Consultation,Transrectal,6,"1,164.33","6,986.00"
Laboratory,Packages,Buntis Package A,4,"1,700.00","6,800.00"
Ultrasound,General Ultrasound,Scrotal Ultrasound (with Doppler),4,"1,700.00","6,800.00"
Ultrasound,Obstetrics and Gynecology Consultation,TVS w Follicle Monitoring,4,"1,700.00","6,800.00"
Services,Ear Piercing,N/A,7,928.57,"6,500.00"
Ultrasound,Obstetrics and Gynecology Consultation,Cervical Length,9,700.00,"6,300.00"
Laboratory,Packages,Lipid Profile,6,970.17,"5,821.00"
Medicines,Medicine,Evening Primrose (Primdin),166,35.00,"5,810.00"
Medicines,Medicine,Clindamycin Phosphate (Vagclr-M),21,250.00,"5,250.00"
Vaccines,Hepatitis A Vaccine,N/A,2,"2,500.00","5,000.00"
Vaccines,Inactivated Polio Vaccine (IPV),N/A,5,"1,000.00","5,000.00"
Surgeon,Surgery Procedure (2500),N/A,2,"2,500.00","5,000.00"
Laboratory,Clinical Chemistry,VDRL-RPR,11,450.00,"4,950.00"
Laboratory,Clinical Chemistry,HBsAg Screening,11,450.00,"4,950.00"
Medicines,Medicine,Folic Acid (Quatrofol),323,15.00,"4,845.00"
Laboratory,Microbiology,Urine C-S,6,800.00,"4,800.00"
Medicines,Medicine,Mommalac,320,14.56,"4,660.00"
Medicines,Medicine,Calcium (Calsure Boncare),380,12.00,"4,560.00"
Laboratory,Clinical Microscopy,Urinalysis,22,200.00,"4,400.00"
Laboratory,Hematology,Platelet Count (PC),17,250.00,"4,250.00"
Ultrasound,General Ultrasound,Kidneys Ureters and Bladder (KUB),3,"1,400.00","4,200.00"
Vaccines,Meningococcal Vaccine,N/A,1,"4,000.00","4,000.00"
Services,Implant Insertion,N/A,1,"4,000.00","4,000.00"
Services,Intramuscular Injection,N/A,5,800.00,"4,000.00"
Ultrasound,General Ultrasound,Inguinoscrotal Ultrasound (with doppler),2,"1,900.00","3,800.00"
Laboratory,Hematology,ABO RH Typing,12,300.00,"3,600.00"
Medicines,Medicine,Vitamin C + Zinc (Pearly-C),270,12.00,"3,240.00"
Medicines,Medicine,Mupirocin Ointment (Mupiderm),12,250.00,"3,000.00"
Medicines,Medicine,Evening Primrose (PRIMAVIX),83,35.00,"2,905.00"
Medicines,Miscellaneous,Pregnancy Test,24,120.00,"2,880.00"
Medical Certificate,Cardiology Clearance,N/A,1,"2,800.00","2,800.00"
Laboratory,Miscellaneous,HbA1c,5,550.00,"2,750.00"
Services,Regular Circumcision,N/A,1,"2,500.00","2,500.00"
Laboratory,Clinical Chemistry,Creatinine,8,300.00,"2,400.00"
Ultrasound,Obstetrics and Gynecology Consultation,Placental Doppler Studies + BiometryPelvic,1,"2,200.00","2,200.00"
Laboratory,Clinical Chemistry,HbA1c,4,550.00,"2,200.00"
Ultrasound,General Ultrasound,Cranial Ultrasound (PEDIA),1,"2,200.00","2,200.00"
Medicines,Medicine,Isoxsuprine Hcl (Duvaprine),87,25.00,"2,175.00"
Ultrasound,Obstetrics and Gynecology Consultation,Placental Localization,3,700.00,"2,100.00"
Ultrasound,General Ultrasound,Whole Abdomen (to r-o acute appendicitis),1,"1,900.00","1,900.00"
Medicines,Medicine,Isoxsuprene Hcl (Duvatrene),75,25.00,"1,875.00"
Laboratory,Clinical Chemistry,SGPT,7,250.00,"1,750.00"
Medicines,Medicine,Dydrogesterone (Duphaston),20,85.00,"1,700.00"
Medicines,Medicine,Trufit,62,25.00,"1,550.00"
Medicines,Medicine,Ferrous + FA (Feofer),128,12.00,"1,536.00"
Vaccines,Hepatitis B Vaccine,N/A,1,"1,500.00","1,500.00"
Services,Implant Removal,N/A,1,"1,500.00","1,500.00"
Vaccines,PPD Test,N/A,3,500.00,"1,500.00"
Ultrasound,General Ultrasound,Hepatobiliary Tree (Liver Spleen Bile Ducts Gallbl,1,"1,400.00","1,400.00"
Ultrasound,Obstetrics and Gynecology Consultation,Cervical Length,2,700.00,"1,400.00"
Medicines,Medicine,Cefuroxime Axetil (Aerox),38,35.00,"1,330.00"
Laboratory,Miscellaneous,Quantitative Beta-Hcg,1,"1,300.00","1,300.00"
Medicines,Medicine,Dexamethasone Sodium Phosphate (Mohsidex),2,625.00,"1,250.00"
Laboratory,Microbiology,Gram Stain,2,600.00,"1,200.00"
Medicines,Family Planning,FAYE,2,600.00,"1,200.00"
Medicines,Medicine,Ferrous Fumarate + B2+B12+ Folic Acid (Hematrene),95,12.00,"1,140.00"
Ultrasound,Obstetrics and Gynecology Consultation,Doppler,1,"1,000.00","1,000.00"
Medicines,Medicine,Cefurox,28,35.00,980.00
Medicines,Miscellaneous,Feminine Wash (Femcare),4,237.50,950.00
Laboratory,Clinical Chemistry,Uric Acid,3,300.00,900.00
Laboratory,Clinical Chemistry,Blood Urea Nitrogen (BUN),3,300.00,900.00
Medicines,Miscellaneous,Tuli After Care Package,1,850.00,850.00
Laboratory,Clinical Chemistry,SGOT,3,250.00,750.00
Laboratory,Clinical Chemistry,Potassium,2,350.00,700.00
Laboratory,Clinical Chemistry,Sodium,2,350.00,700.00
Medicines,Medicine,Methyldopa,34,20.00,680.00
Laboratory,Clinical Chemistry,TSH,1,650.00,650.00
Medicines,Family Planning,ALTHEA,1,600.00,600.00
Laboratory,Miscellaneous,Wet Smear,1,600.00,600.00
Medicines,Miscellaneous,Drysheet - Underpad,11,50.00,550.00
Ultrasound,Obstetrics and Gynecology Consultation,Follicle Monitoring,1,500.00,500.00
Pediatric Medicines,Salinase Nebule,N/A,1,500.00,500.00
Pediatric Medicines,"Salinase Max ""Nasal Spray Drops""",N/A,2,250.00,500.00
Services,Skin Test,N/A,1,500.00,500.00
Others,Administration Fee,N/A,2,250.00,500.00
Pediatric Medicines,Azithromycin (Azythrex),N/A,1,500.00,500.00
Services,Clinical Fee,N/A,3,150.00,450.00
Medicines,Medicine,Methylergometrine (Ergojen),15,25.00,375.00
Pediatric Medicines,Cetirizine (Allerkid Syrup),N/A,1,300.00,300.00
Pediatric Medicines,Cetirizine (Temprazine),N/A,1,250.00,250.00
Medicines,Medicine,Metformin,15,15.00,225.00
Pediatric Medicines,Nutri 10 plus drops,N/A,1,200.00,200.00
Medicines,Miscellaneous,OGTT Juice,1,200.00,200.00
Pediatric Medicines,Paracetamol Drops (Tempra),N/A,1,150.00,150.00
Medicines,Medicine,Folic Acid (Folitrene),10,15.00,150.00
Medicines,Miscellaneous,Speculum,1,50.00,50.00
Pediatric Medicines,Zinc Oxide +Calamine (Calmoseptine),N/A,1,50.00,50.00
Medicines,Miscellaneous,Urine Container,2,10.00,20.00
Medicines,Miscellaneous,Wee bag,1,15.00,15.00
