Category,Item,Option,Quantity,Total Amount,Total Costs,Profit
Medicines,Medicine,Calcium Carbonate + D3 (Calcidin),1210,14520,0,14520
Surgeon,Surgery Procedure (4500),N/A,3,13500,0,13500
Vaccines,Hepatitis A Vaccine,N/A,5,12500,0,12500
Vaccines,Meningococcal Vaccine,N/A,3,12000,0,12000
Services,Endocrinologist Consultation,N/A,15,12000,0,12000
Vaccines,Japanese Encephalitis Vaccine,N/A,3,12000,0,12000
Medicines,Medicine,Multivitamins (Mosvit Elite),588,10584,0,10584
Medicines,Family Planning,DMPA (Depotrust),21,10500,0,10500
Vaccines,GARDASIL 9 Vaccine,N/A,1,10000,0,10000
Laboratory,Clinical Chemistry,HIV Screening,15,9750,0,9750
Vaccines,PPD Test,N/A,13,9750,0,9750
Medicines,Medicine,Heme Up,482,9640,0,9640
Laboratory,Hematology,Complete Blood Count (CBC),23,9200,0,9200
Surgeon,Surgery Procedure (8500),N/A,1,8500,0,8500
Ultrasound,General Ultrasound,Whole Abdomen,5,8500,0,8500
Laboratory,Medical Packages,Buntis Package A,5,8500,0,8500
Medical Certificate,Biopsy Result,N/A,1,8000,0,8000
Services,Urology Consultation,N/A,10,7857,0,7857
Ultrasound,Obstetrics and Gynecology Consultation,3D-4D Ultrasound,3,7500,0,7500
Medicines,Medicine,Metindaz,56,7280,0,7280
Medical Certificate,Swab Test,N/A,6,7200,0,7200
Vaccines,MMRV Vaccine,N/A,1,6500,0,6500
Medicines,Medicine,Vitamin C + Zinc (Pearly-C),506,6072,0,6072
Medicines,Medicine,Evening Primrose (PRIMAVIX),173,6055,0,6055
Medicines,Medicine,Ferrous + Folic Acid (Prenat),485,5820,0,5820
Medicines,Medicine,Evening Primrose (Primdin),143,5005,0,5005
Surgeon,Surgery Procedure (5000),N/A,1,5000,0,5000
Services,Ear Piercing,N/A,5,5000,0,5000
Services,Regular Circumcision,N/A,2,5000,0,5000
Ultrasound,Obstetrics and Gynecology Consultation,Cervical Length,7,4900,0,4900
Services,Cardiology Consultation,N/A,6,4800,0,4800
Laboratory,Hematology,Platelet Count (PC),19,4750,0,4750
Medicines,Medicine,Letrozole,30,4500,0,4500
Laboratory,Medical Packages,Lipid Profile,4,4000,0,4000
Laboratory,Hematology,ABO RH Typing,13,3900,0,3900
Medicines,Family Planning,FAYE,6,3600,0,3600
Laboratory,Clinical Chemistry,VDRL-RPR,8,3600,0,3600
Laboratory,Clinical Chemistry,HBsAg Screening,8,3600,0,3600
Medical Certificate,Cardiology Clearance,N/A,1,3500,0,3500
Laboratory,Miscellaneous,Histopath - medium ,1,3500,0,3500
Surgeon,Surgery Procedure (3500),N/A,1,3500,0,3500
Ultrasound,General Ultrasound,Scrotal Ultrasound (with Doppler),2,3400,0,3400
Laboratory,Clinical Microscopy,Urinalysis,16,3200,0,3200
Laboratory,Medical Packages,Blood Chemistry (Hypertension),1,2958,0,2958
Ultrasound,General Ultrasound,Thyroid Ultrasound,2,2800,0,2800
Ultrasound,General Ultrasound,Kidneys Ureters and Bladder (KUB),2,2800,0,2800
Medicines,Medicine,Mommalac,185,2775,0,2775
Services,Intramuscular Injection,N/A,3,2400,0,2400
Ultrasound,Obstetrics and Gynecology Consultation,Transrectal,2,2400,0,2400
Medicines,Family Planning,IUD INSERTION - UD REMOVAL,1,2300,0,2300
Ultrasound,Obstetrics and Gynecology Consultation,BPS - DOPPLER VELOCIMETRY,1,2300,0,2300
Services,Intrauterine Device Insertion,N/A,1,2300,0,2300
Medicines,Medicine,Isoxuprine (Isoxilan),76,2280,0,2280
Medicines,Miscellaneous,Pregnancy Test,19,2280,0,2280
Ultrasound,Obstetrics and Gynecology Consultation,Placental Localization,3,2100,0,2100
Medicines,Medicine,Cefurox,59,2065,0,2065
Ultrasound,Obstetrics and Gynecology Consultation,BPS + Biometry w- Cervical Length,1,2000,0,2000
Laboratory,Clinical Chemistry,FBS,3,1950,0,1950
Ultrasound,General Ultrasound,Whole Abdomen (to r-o acute appendicitis),1,1900,0,1900
Ultrasound,General Ultrasound,Inguinoscrotal Ultrasound (with doppler),1,1900,0,1900
Ultrasound,General Ultrasound,Neck Ultrasound (Thyroid Submandibular and Lymph N,1,1700,0,1700
Laboratory,Miscellaneous,HbA1c,3,1650,0,1650
Laboratory,Clinical Microbiology,Urine C-S,2,1600,0,1600
Medicines,Medicine,Methylergometrine (Ergojen),63,1575,0,1575
Surgeon,Surgery Procedure (1500),N/A,1,1500,0,1500
Pediatric Medicines,Azithromycin (Azythrex),N/A,3,1500,0,1500
Vaccines,Hepatitis B Vaccine,N/A,1,1500,0,1500
Medicines,Medicine,Mupirocin Ointment (Mupiderm),6,1500,0,1500
Medicines,Miscellaneous,Feminine Wash (Femcare),6,1500,0,1500
Ultrasound,General Ultrasound,Hepatobiliary Tree (Liver Spleen Bile Ducts Gallbl,1,1400,0,1400
Laboratory,Miscellaneous,Quantitative Beta-Hcg,1,1300,0,1300
Medicines,Medicine,Gestron,19,1235,0,1235
Others,Catheter Change,N/A,1,1232,0,1232
Laboratory,Miscellaneous,Wet Smear,2,1200,0,1200
Laboratory,Clinical Chemistry,HbA1c,2,1100,0,1100
Medicines,Medicine,Folic Acid (Folitrene),72,1080,0,1080
Laboratory,Clinical Chemistry,SGPT,4,1000,0,1000
Others,Administration Fee,N/A,4,1000,0,1000
Medicines,Medicine,Azithromycin (Azithrovin),10,850,0,850
Medicines,Medicine,Folic Acid (Quatrofol),54,810,0,810
Pediatric Medicines,Chewies Immunolicious,N/A,1,800,0,800
Medicines,Miscellaneous,Dexa,1,750,0,750
Pediatric Medicines,Salinase Spray,N/A,3,750,0,750
Pediatric Medicines,Nasatapp Drops,N/A,5,750,0,750
Laboratory,Clinical Chemistry,SGOT,3,750,0,750
Ultrasound,Obstetrics and Gynecology Consultation,CERVICAL LENGTH,1,700,0,700
Laboratory,Clinical Chemistry,Potassium,2,700,0,700
Laboratory,Miscellaneous,Prolactin,1,700,0,700
Laboratory,Clinical Chemistry,FT4,1,650,0,650
Laboratory,Clinical Chemistry,TSH,1,650,0,650
Medicines,Medicine,Isoxsuprene HCl (Isoxilan),21,630,0,630
Laboratory,Clinical Chemistry,Creatinine,2,600,0,600
Laboratory,Clinical Chemistry,Blood Urea Nitrogen (BUN),2,600,0,600
Ultrasound,General Ultrasound,Soft Tissue Ultrasound (ex. Axillary),1,600,0,600
Medicines,Miscellaneous,Drysheet - Underpad,12,600,0,600
Pediatric Medicines,Cetirizine (Hydrochloride Allercon-25),N/A,4,600,0,600
Ultrasound,Obstetrics and Gynecology Consultation,Follicle Monitoring,1,500,0,500
Pediatric Medicines,Iron B and Complex (Ferlin),N/A,2,500,0,500
Medicines,Medicine,Cefuroxime Axetil (Uroxime),14,490,0,490
Services,Clinical Fee,N/A,3,450,0,450
Medical Certificate,General Ultrasound (with Certified True Copy),N/A,8,400,0,400
Laboratory,Clinical Chemistry,Sodium,1,350,0,350
Medicines,Medicine,Nausecare,22,330,0,330
Laboratory,Miscellaneous,Serum Preg Test,1,300,0,300
Pediatric Medicines,Nasatapp Syrup,N/A,2,300,0,300
Laboratory,Clinical Chemistry,Uric Acid,1,300,0,300
Pediatric Medicines,Ambroxol Hydrochloride (Tempracof),N/A,1,250,0,250
Laboratory,Clinical Microscopy,Fecalysis,1,250,0,250
Medicines,Miscellaneous,OGTT Juice,1,200,0,200
Pediatric Medicines,Paracetamol Syrup (Tempra),N/A,1,200,0,200
Pediatric Medicines,Provits 120 ml,N/A,1,200,0,200
Pediatric Medicines,Cetirizine (Allerkid Drops),N/A,1,180,0,180
Pediatric Medicines,Ambroxol Hydrochloride (Cofzol),N/A,1,150,0,150
Pediatric Medicines,Paracetamol Drops (Tempra),N/A,1,100,0,100
Pediatric Medicines,Vivalyte,N/A,1,100,0,100
Medicines,Miscellaneous,Speculum,2,100,0,100
Medicines,Miscellaneous,Urine Container,8,80,0,80
Medicines,Medicine,Cholecalciferol + Calcium (Calvit Gold),5,75,0,75
Medicines,Miscellaneous,"Micropore 1""",1,50,0,50
Medicines,Medicine,Methyldopa,2,50,0,50
Medicines,Medicine,Isoxsuprene Hcl (Duvatrene),1,30,0,30
Medicines,Miscellaneous,Wee bag,1,15,0,15
Vaccines,"PCV ""Vaxneuvance"" Vaccine",N/A,0,0,0,0
