Category,Item,Option, Quantity , Price Per Unit , Profit 
Laboratory,Medical Packages,Buntis Package A, 6.00 ," 1,700.00 "," 10,200.00 "
Services,Laser Circumcision,N/A, 2.00 ," 4,500.00 "," 9,000.00 "
Surgeon,Surgery Procedure (9000),N/A, 1.00 ," 9,000.00 "," 9,000.00 "
Medicines,Medicine,Evening Primrose (Primdin), 264.00 , 33.64 ," 8,880.37 "
Ultrasound,Obstetrics and Gynecology Consultation,TVS w Follicle Monitoring, 5.00 ," 1,700.00 "," 8,500.00 "
Medicines,Medicine,Gestron, 112.00 , 65.00 ," 7,280.00 "
Services,Intramuscular Injection,N/A, 9.00 , 800.00 ," 7,200.00 "
Surgeon,Surgery Procedure (7000),N/A, 1.00 ," 7,000.00 "," 7,000.00 "
Surgeon,Surgery Procedure (8500),N/A, 1.00 ," 6,982.00 "," 6,982.00 "
Laboratory,Clinical Microbiology,Urine C-S, 8.00 , 800.00 ," 6,400.00 "
Vaccines,Typhoid Vaccine,N/A, 2.00 ," 3,000.00 "," 6,000.00 "
Laboratory,Hematology,Platelet Count (PC), 23.00 , 250.00 ," 5,750.00 "
Medicines,Medicine,Vitamin C + Zinc (Pearly-C), 444.00 , 12.00 ," 5,328.00 "
Services,Ear Piercing,N/A, 5.00 ," 1,000.00 "," 5,000.00 "
Ultrasound,Obstetrics and Gynecology Consultation,3D-4D Ultrasound, 2.00 ," 2,500.00 "," 5,000.00 "
Vaccines,PPD Test,N/A, 6.00 , 750.00 ," 4,500.00 "
Laboratory,Clinical Microscopy,Urinalysis, 22.00 , 200.00 ," 4,400.00 "
Medicines,Medicine,Mommalac, 322.00 , 13.63 ," 4,389.63 "
Ultrasound,Obstetrics and Gynecology Consultation,Cervical Length, 6.00 , 700.00 ," 4,200.00 "
Laboratory,Miscellaneous,NS1 Antigen, 3.00 ," 1,400.00 "," 4,200.00 "
Services,Implant Insertion,N/A, 1.00 ," 4,000.00 "," 4,000.00 "
Vaccines,Meningococcal Vaccine,N/A, 1.00 ," 4,000.00 "," 4,000.00 "
Surgeon,Surgery Procedure (4000),N/A, 1.00 ," 4,000.00 "," 4,000.00 "
Services,Urology Consultation,N/A, 5.00 , 800.00 ," 4,000.00 "
Ultrasound,General Ultrasound,Inguinoscrotal Ultrasound (with doppler), 2.00 ," 1,900.00 "," 3,800.00 "
Laboratory,Medical Packages,Thyroid Function Test, 2.00 ," 1,800.00 "," 3,600.00 "
Surgeon,Surgery Procedure (3500),N/A, 1.00 ," 3,500.00 "," 3,500.00 "
Ultrasound,General Ultrasound,Neck Ultrasound (Thyroid Submandibular and Lymph N, 2.00 ," 1,700.00 "," 3,400.00 "
Medicines,Medicine,Ferrous + Folic Acid (Prenat), 280.00 , 12.00 ," 3,360.00 "
Laboratory,Medical Packages,Blood Chemistry (Hypertension), 1.00 ," 3,200.00 "," 3,200.00 "
Laboratory,Clinical Chemistry,VDRL-RPR, 7.00 , 450.00 ," 3,150.00 "
Medicines,Family Planning,DMPA (Depotrust), 6.00 , 500.00 ," 3,000.00 "
Laboratory,Miscellaneous,Wet Smear, 5.00 , 600.00 ," 3,000.00 "
Laboratory,Hematology,ABO RH Typing, 10.00 , 300.00 ," 3,000.00 "
Laboratory,Medical Packages,Lipid Profile, 3.00 , 940.33 ," 2,821.00 "
Laboratory,Clinical Chemistry,HBsAg Screening, 6.00 , 450.00 ," 2,700.00 "
Laboratory,Clinical Chemistry,TSH, 4.00 , 650.00 ," 2,600.00 "
Laboratory,Medical Packages,Wellness Package, 1.00 ," 2,500.00 "," 2,500.00 "
Medicines,Medicine,Medroxyprogesterone (DB-10), 30.00 , 80.00 ," 2,400.00 "
Ultrasound,General Ultrasound,Soft Tissue Ultrasound (ex. Axillary), 2.00 ," 1,200.00 "," 2,400.00 "
Medicines,Medicine,Folic Acid (Quatrofol), 158.00 , 15.00 ," 2,370.00 "
Services,Intrauterine Device Insertion,N/A, 1.00 ," 2,300.00 "," 2,300.00 "
Medicines,Medicine,Letrozole, 15.00 , 150.00 ," 2,250.00 "
Ultrasound,General Ultrasound,Cranial Ultrasound (Pedia), 1.00 ," 2,200.00 "," 2,200.00 "
Ultrasound,Obstetrics and Gynecology Consultation,BPS + Biometry w- Cervical Length, 1.00 ," 2,000.00 "," 2,000.00 "
Pediatric Medicines,Azithromycin (Azythrex),N/A, 4.00 , 500.00 ," 2,000.00 "
Laboratory,Clinical Chemistry,FT4, 3.00 , 650.00 ," 1,950.00 "
Laboratory,Clinical Chemistry,FBS, 3.00 , 650.00 ," 1,950.00 "
Ultrasound,General Ultrasound,Whole Abdomen (to r-o acute appendicitis), 1.00 ," 1,900.00 "," 1,900.00 "
Laboratory,Clinical Microbiology,Gram Stain, 3.00 , 600.00 ," 1,800.00 "
Medicines,Medicine,Isoxsuprene Hcl (Duvatrene), 57.00 , 28.16 ," 1,605.00 "
Medicines,Medicine,Cefurox, 49.00 , 32.29 ," 1,582.00 "
Others,Histopathology Deposit,N/A, 3.00 , 500.00 ," 1,500.00 "
Vaccines,Hepatitis B Vaccine,N/A, 1.00 ," 1,500.00 "," 1,500.00 "
Surgeon,Surgery Procedure (1500),N/A, 1.00 ," 1,500.00 "," 1,500.00 "
Ultrasound,General Ultrasound,Thyroid Ultrasound, 1.00 ," 1,400.00 "," 1,400.00 "
Ultrasound,Obstetrics and Gynecology Consultation,CERVICAL LENGTH, 2.00 , 700.00 ," 1,400.00 "
Laboratory,Miscellaneous,Quantitative Beta-Hcg, 1.00 ," 1,300.00 "," 1,300.00 "
Others,Catheter Change,N/A, 1.00 ," 1,232.00 "," 1,232.00 "
Medicines,Family Planning,FAYE, 2.00 , 600.00 ," 1,200.00 "
Medicines,Family Planning,ALTHEA, 2.00 , 600.00 ," 1,200.00 "
Medicines,Medicine,Clindamycin (Vagilin), 7.00 , 170.00 ," 1,190.00 "
Laboratory,Miscellaneous,HbA1c, 2.00 , 550.00 ," 1,100.00 "
Medicines,Medicine,Metindaz, 8.00 , 130.00 ," 1,040.00 "
Vaccines,Oral Polio Vaccine (OPV),N/A, 1.00 ," 1,000.00 "," 1,000.00 "
Ultrasound,Obstetrics and Gynecology Consultation,Placental Doppler, 1.00 ," 1,000.00 "," 1,000.00 "
Laboratory,Miscellaneous,Dengue Duo, 1.00 , 920.00 , 920.00 
Laboratory,Clinical Chemistry,Creatinine, 3.00 , 300.00 , 900.00 
Laboratory,Clinical Chemistry,Blood Urea Nitrogen (BUN), 3.00 , 300.00 , 900.00 
Medicines,Miscellaneous,Tuli After Care Package, 1.00 , 850.00 , 850.00 
Medicines,Miscellaneous,Pregnancy Test, 7.00 , 120.00 , 840.00 
Medicines,Medicine,Isoxsuprene HCl (Isoxilan), 27.00 , 30.00 , 810.00 
Others,Administration Fee,N/A, 3.00 , 250.00 , 750.00 
Pediatric Medicines,Cetirizine (Temprazine),N/A, 3.00 , 250.00 , 750.00 
Medicines,Medicine,Mupirocin Ointment (Mupiderm), 3.00 , 250.00 , 750.00 
Services,Clinical Fee,N/A, 5.00 , 150.00 , 750.00 
Laboratory,Clinical Chemistry,SGOT, 3.00 , 250.00 , 750.00 
Laboratory,Clinical Chemistry,SGPT, 3.00 , 250.00 , 750.00 
Laboratory,Clinical Chemistry,FSH, 1.00 , 700.00 , 700.00 
Pediatric Medicines,Paracetamol Syrup (Tempra),N/A, 3.00 , 200.00 , 600.00 
Pediatric Medicines,Cetirizine (Hydrochloride Allercon-25),N/A, 4.00 , 150.00 , 600.00 
Medicines,Medicine,Azithromycin (Azithrovin), 7.00 , 85.00 , 595.00 
Laboratory,Clinical Chemistry,HbA1c, 1.00 , 550.00 , 550.00 
Laboratory,Clinical Chemistry,Bilirubin, 1.00 , 400.00 , 400.00 
Medicines,Medicine,Methylergometrine (Ergojen), 15.00 , 25.00 , 375.00 
Laboratory,Clinical Chemistry,Potassium, 1.00 , 350.00 , 350.00 
Laboratory,Clinical Chemistry,Sodium, 1.00 , 350.00 , 350.00 
Laboratory,Clinical Chemistry,Alkaline Phosphatase, 1.00 , 350.00 , 350.00 
Laboratory,Clinical Chemistry,Uric Acid, 1.00 , 300.00 , 300.00 
Pediatric Medicines,Paracetamol Drops (Tempra),N/A, 3.00 , 100.00 , 300.00 
Medicines,Miscellaneous,Feminine Wash (Femcare), 1.00 , 250.00 , 250.00 
Laboratory,Clinical Microscopy,Fecalysis, 1.00 , 250.00 , 250.00 
Pediatric Medicines,Salinase Spray,N/A, 1.00 , 250.00 , 250.00 
Laboratory,Hematology,Bleeding Time (BT), 1.00 , 210.00 , 210.00 
Pediatric Medicines,Nutri 10 plus drops,N/A, 1.00 , 200.00 , 200.00 
Pediatric Medicines,Cetirizine (Dihydrochloride Trizin 5),N/A, 1.00 , 200.00 , 200.00 
Medicines,Miscellaneous,Drysheet - Underpad, 4.00 , 50.00 , 200.00 
Medicines,Medicine,Isoxsuprine Hcl (Duvaprine), 6.00 , 30.00 , 180.00 
Surgeon,Surgery Procedure (150),N/A, 1.00 , 150.00 , 150.00 
Pediatric Medicines,Nasatapp Drops,N/A, 1.00 , 150.00 , 150.00 
Pediatric Medicines,Zinc Sulfate (E-Zinc) 15ml,N/A, 1.00 , 120.00 , 120.00 
Pediatric Medicines,Hydrite,N/A, 5.00 , 20.00 , 100.00 
Pediatric Medicines,Vivalyte,N/A, 1.00 , 100.00 , 100.00 
Medicines,Miscellaneous,Urine Container, 6.00 , 10.00 , 60.00 
Medicines,Miscellaneous,Wee bag, 2.00 , 15.00 , 30.00 
