Category,Item,Option, Quantity , Price Per Unit , Profit 
Ultrasound,Obstetrics and Gynecology Consultation,Placental Doppler,2.00,"2,000.00","2,000.00"
Ultrasound,Obstetrics and Gynecology Consultation,BPS + Biometry w- Cervical Length,1.00,"2,000.00","2,000.00"
Ultrasound,General Ultrasound,Inguinoscrotal Ultrasound (with doppler),1.00,"1,900.00","1,900.00"
Medicines,Medicine,Gestron,28.00,"1,820.00","1,820.00"
Medicines,Family Planning,FAYE,3.00,"1,800.00","1,800.00"
Medicines,Medicine,Clindamycin Phosphate (Vagclr-M),7.00,"1,750.00","1,750.00"
Laboratory,Clinical Microbiology,Urine C-S,2.00,"1,600.00","1,600.00"
Medicines,Medicine,Clomifene Citrate (Ova-mit),15.00,"1,500.00","1,500.00"
Surgeon,Surgery Procedure (1500),N/A,1.00,"1,500.00","1,500.00"
Ultrasound,General Ultrasound,Thyroid Ultrasound,1.00,"1,400.00","1,400.00"
Ultrasound,General Ultrasound,Hepatobiliary Tree (Liver Spleen Bile Ducts Gallbl,1.00,"1,400.00","1,400.00"
Ultrasound,General Ultrasound,Neck Ultrasound (Thyroid Submandibular and Lymph N,1.00,"1,396.00","1,396.00"
Ultrasound,General Ultrasound,Upper Abdomen (HBT plus Spleen and Abdominal Aorta,1.00,"1,396.00","1,396.00"
Laboratory,Clinical Chemistry,FBS,2.00,"1,300.00","1,300.00"
Medicines,Miscellaneous,Feminine Wash (Femcare),5.00,"1,250.00","1,250.00"
Others,Catheter Change,N/A,1.00,"1,232.00","1,232.00"
Laboratory,Clinical Microbiology,Gram Stain,2.00,"1,200.00","1,200.00"
Laboratory,Miscellaneous,75 Gram OGTT,1.00,"1,200.00","1,200.00"
Medicines,Family Planning,ALTHEA,2.00,"1,200.00","1,200.00"
Medicines,Medicine,Folic Acid (Folitrene),80.00,"1,200.00","1,200.00"
Laboratory,Miscellaneous,HbA1c,2.00,"1,100.00","1,100.00"
Medicines,Medicine,Azithromycin (Azithrovin),12.00,"1,020.00","1,020.00"
Medicines,Medicine,Evening Primrose (Primdin),27.00,945.00,945.00
Medicines,Medicine,Metindaz,7.00,910.00,910.00
Medicines,Medicine,Mommalac,58.00,870.00,870.00
Medicines,Miscellaneous,Tuli After Care Package,1.00,850.00,850.00
Medicines,Medicine,Methylergometrine (Ergojen),30.00,750.00,750.00
Laboratory,Clinical Chemistry,SGOT,3.00,750.00,750.00
Laboratory,Clinical Chemistry,SGPT,3.00,750.00,750.00
Others,Administration Fee,N/A,3.00,750.00,750.00
Ultrasound,Obstetrics and Gynecology Consultation,Placental Localization,1.00,700.00,700.00
Ultrasound,Obstetrics and Gynecology Consultation,CERVICAL LENGTH,1.00,700.00,700.00
Pediatric Medicines,Coamoxiclav 457 5mg,N/A,2.00,700.00,700.00
Laboratory,Clinical Chemistry,FT4,1.00,650.00,650.00
Medicines,Medicine,Momalac,43.00,645.00,645.00
Laboratory,Clinical Chemistry,HbA1c,1.00,550.00,550.00
Medical Certificate,Medical Abstract,N/A,1.00,500.00,500.00
Pediatric Medicines,Cetirizine (Temprazine),N/A,2.00,500.00,500.00
Pediatric Medicines,Azithromycin (Azythrex),N/A,1.00,500.00,500.00
Laboratory,Hematology,APTT,1.00,500.00,500.00
Laboratory,Hematology,PROTIME (PT),1.00,500.00,500.00
Pediatric Medicines,Salinase Spray,N/A,2.00,500.00,500.00
Medicines,Medicine,Cefuroxime Axetil (Aerox),14.00,490.00,490.00
Pediatric Medicines,Ambroxol Hydrochloride (Cofzol),N/A,3.00,450.00,450.00
Pediatric Medicines,Simeticone (Restime),N/A,2.00,400.00,400.00
Pediatric Medicines,Co-amoxiclav (Natravox),N/A,1.00,350.00,350.00
Pediatric Medicines,Mebendazole,N/A,2.00,350.00,350.00
Medicines,Medicine,Procaterol Hydrochloride (Brezu),1.00,350.00,350.00
Medicines,Miscellaneous,Drysheet - Underpad,7.00,350.00,350.00
Pediatric Medicines,Nasatapp Drops,N/A,2.00,300.00,300.00
Services,Clinical Fee,N/A,2.00,300.00,300.00
Laboratory,Clinical Chemistry,Creatinine,1.00,300.00,300.00
Laboratory,Clinical Chemistry,Blood Urea Nitrogen (BUN),1.00,300.00,300.00
Pediatric Medicines,Appebon,N/A,1.00,200.00,200.00
Medicines,Medicine,Nausecare,10.00,150.00,150.00
Pediatric Medicines,Nasatapp Syrup,N/A,1.00,150.00,150.00
Medical Certificate,General Ultrasound (with Certified True Copy),N/A,3.00,150.00,150.00
Pediatric Medicines,Zinc Oxide and Calamine (Calmoseptine),N/A,2.00,100.00,100.00
Pediatric Medicines,Paracetamol Drops (Tempra),N/A,1.00,100.00,100.00
Medicines,Miscellaneous,Wee bag,4.00,60.00,60.00
Medicines,Miscellaneous,Urine Container,6.00,60.00,60.00
Medicines,Medicine,Methyldopa,2.00,50.00,50.00
Ultrasound,Obstetrics and Gynecology Consultation,Doppler,0.00,0.00,0.00
Vaccines,Hepatitis B Immune Globulin Vaccine,N/A,0.00,0.00,0.00
