Category,Item,Option,Quantity,Price Per Unit,Total Profit
Medicines,MEDICINE,Medroxyprogesterone (DB-10),60.00,80.00,"4,800.00"
Medicines,MEDICINE,Calcium Carbonate + D3 (CalDTrene),388.00,12.00,"4,656.00"
Ultrasound,Obstetrics and Gynecology,BPS with Doppler,2.00,"2,300.00","4,600.00"
Services,Laser Circumcision,N/A,1.00,"4,500.00","4,500.00"
Vaccines,GARDASIL 4,N/A,1.00,"4,500.00","4,500.00"
Laboratory,Clinical Chemistry,FBS,7.00,631.43,"4,420.00"
Ultrasound,GENERAL ULTRASOUND,Cranial Ultrasound (Pedia),2.00,"2,200.00","4,400.00"
Laboratory,HEMATOLOGY,ABO RH Typing,14.00,300.00,"4,200.00"
Laboratory,Clinical Chemistry,VDRL-RPR,9.00,450.00,"4,050.00"
Services,IMPLANT INSERTION,N/A,1.00,"4,000.00","4,000.00"
Services,IMPLANT REMOVAL,N/A,2.00,"1,800.00","3,600.00"
Laboratory,Clinical Chemistry,HBsAg Screening,8.00,450.00,"3,600.00"
Ultrasound,Obstetrics and Gynecology,Cervical Length,5.00,700.00,"3,500.00"
Medical Certificate,MED CLEARANCE,N/A,2.00,"1,750.00","3,500.00"
Medicines,MEDICINE,Folic Acid (Quatrofol),218.00,15.00,"3,270.00"
Laboratory,PACKAGES,Blood Chemistry (Hypertension),1.00,"3,200.00","3,200.00"
Laboratory,PACKAGES,Wellness Package,1.00,"3,199.00","3,199.00"
Vaccines,TYPHOID,N/A,1.00,"3,000.00","3,000.00"
Medicines,MEDICINE,Mupirocin Ointment (Mupiderm),12.00,250.00,"3,000.00"
Medicines,MEDICINE,Isoxsuprene Hcl (Duvatrene),114.00,25.00,"2,850.00"
Laboratory,Clinical Microscopy,Urinalysis,14.00,200.00,"2,800.00"
Medicines,MEDICINE,Methylergometrine (Ergojen),111.00,25.00,"2,775.00"
Medicines,MEDICINE,Multivitamins (Medcare OB),230.00,12.00,"2,760.00"
Pediatric Medicines,Pro Biolyte (Banana),N/A,65.00,40.00,"2,600.00"
Services,Regular Circumcision,N/A,1.00,"2,500.00","2,500.00"
Surgeon,Surgery Procedure (3500),N/A,1.00,"2,500.00","2,500.00"
Ultrasound,Obstetrics and Gynecology,CERVICAL LENGTH,3.00,700.00,"2,100.00"
Laboratory,Clinical Chemistry,Creatinine,7.00,284.57,"1,992.00"
Others,Admin Fee,N/A,8.00,243.75,"1,950.00"
Medicines,MEDICINE,Trufit,77.00,25.00,"1,925.00"
Medicines,MEDICINE,Folic Acid (Folitrene),121.00,15.00,"1,815.00"
Medicines,OTHERS,Pregnancy Test,15.00,120.00,"1,800.00"
Laboratory,Clinical Chemistry,Blood Urea Nitrogen (BUN),6.00,291.00,"1,746.00"
Laboratory,Clinical Chemistry,Potassium,5.00,337.60,"1,688.00"
Medicines,MEDICINE,Isoxsuprine Hcl (Duvaprine),67.00,25.00,"1,675.00"
Vaccines,BCG,N/A,1.00,"1,500.00","1,500.00"
Vaccines,PPD,N/A,3.00,500.00,"1,500.00"
Laboratory,Clinical Chemistry,SGOT,6.00,250.00,"1,500.00"
Laboratory,Clinical Chemistry,SGPT,6.00,250.00,"1,500.00"
Medicines,MEDICINE,Cefuroxime Axetil (Aerox),42.00,35.00,"1,470.00"
Medicines,MEDICINE,Metformin,100.00,14.50,"1,450.00"
Ultrasound,Obstetrics and Gynecology,Placental Localization,2.00,700.00,"1,400.00"
Ultrasound,GENERAL ULTRASOUND,Kidneys Ureters and Bladder (KUB),1.00,"1,400.00","1,400.00"
Ultrasound,GENERAL ULTRASOUND,Thyroid Ultrasound,1.00,"1,400.00","1,400.00"
Ultrasound,GENERAL ULTRASOUND,Neck Ultrasound (Thyroid Submandibular and Lymph N,1.00,"1,360.00","1,360.00"
Laboratory,OTHERS,75 Gram OGTT,1.00,"1,200.00","1,200.00"
Ultrasound,GENERAL ULTRASOUND,Soft Tissue Ultrasound (ex. Axillary),1.00,"1,200.00","1,200.00"
Medicines,Family Planning,ALTHEA,2.00,600.00,"1,200.00"
Laboratory,OTHERS,Wet Smear,2.00,600.00,"1,200.00"
Laboratory,Clinical Chemistry,Uric Acid,4.00,300.00,"1,200.00"
Laboratory,Clinical Chemistry,HbA1c,2.00,550.00,"1,100.00"
Laboratory,Clinical Chemistry,Sodium,3.00,350.00,"1,050.00"
Laboratory,Clinical Chemistry,Lipid Profile,1.00,"1,000.00","1,000.00"
Vaccines,OPV,N/A,1.00,"1,000.00","1,000.00"
Vaccines,IPV,N/A,1.00,"1,000.00","1,000.00"
Medicines,MEDICINE,Heragest,14.00,65.00,910.00
Pediatric Medicines,Cetirizine Drops Allerkid Drops,N/A,5.00,180.00,900.00
Pediatric Medicines,Nasatapp Drops,N/A,6.00,130.00,780.00
Laboratory,OTHERS,Prolactin,1.00,700.00,700.00
Laboratory,Clinical Chemistry,TSH,1.00,650.00,650.00
Laboratory,OTHERS,KOH,1.00,600.00,600.00
Laboratory,MICROBIOLOGY,Gram Stain,1.00,600.00,600.00
Pediatric Medicines,Cetirizine Syrup Allerkid Syrup,N/A,2.00,300.00,600.00
Medicines,OTHERS,Feminine Wash (Femcare),3.00,200.00,600.00
Laboratory,Clinical Chemistry,Anti HCV,1.00,550.00,550.00
Medicines,OTHERS,Drysheet - Underpad,11.00,50.00,550.00
Ultrasound,Obstetrics and Gynecology,Follicle Monitoring,1.00,500.00,500.00
Laboratory,HEMATOLOGY,APTT,1.00,500.00,500.00
Laboratory,HEMATOLOGY,PROTIME (PT),1.00,500.00,500.00
Laboratory,HEMATOLOGY,Peripheral Smear,1.00,500.00,500.00
Medicines,MEDICINE,Cefurox,14.00,35.00,490.00
Laboratory,Clinical Chemistry,Anti HBs,1.00,450.00,450.00
Laboratory,Clinical Chemistry,Anti HBc (IgM),1.00,450.00,450.00
Laboratory,Clinical Chemistry,Anti HBc (IgG),1.00,450.00,450.00
Medicines,MEDICINE,Momalac,30.00,15.00,450.00
Others,Catheter Removal Fee,N/A,1.00,300.00,300.00
Laboratory,OTHERS,Serum Preg Test,1.00,300.00,300.00
Services,Clinic Fee,N/A,2.00,141.67,283.33
Pediatric Medicines,Nasatapp Syrup,N/A,2.00,130.00,260.00
Laboratory,Clinical Microscopy,Fecalysis,1.00,250.00,250.00
Pediatric Medicines,Ceelin Drops 30ml,N/A,1.00,170.00,170.00
Pediatric Medicines,Zinc Sulfate (E-Zinc) 15ml,N/A,1.00,120.00,120.00
Medicines,OTHERS,Speculum,2.00,50.00,100.00
Medicines,OTHERS,"Micropore 1""",2.00,50.00,100.00
Pediatric Medicines,Hydrite,N/A,2.00,20.00,40.00
Medicines,MEDICINE,Methyldopa,2.00,20.00,40.00
Medicines,OTHERS,Wee bag,1.00,15.00,15.00
Medicines,OTHERS,Urine Container,1.00,10.00,10.00
Medicines,MEDICINE,Celecoxib,0.00,0.00,0.00
Ultrasound,Obstetrics and Gynecology,BPS + Biometry w- Cervical Length,0.00,0.00,0.00
