Category,Item,Option,Quantity,Piece Per Unit,Total Profit
VACCINES,VARICELLA,N/A,4,3500.00,14000.00
MEDS,MEDICINE,Multivitamins (Mosvit Elite),720,18.00,12960.00
UTZ,GENERAL ULTRASOUND,Whole Abdomen,8,1517.75,12142.00
SERVICES,Urologist Consult,N/A,15,790.47,11857.00
MEDS,FAMILY PLANNING,DMPA (Depotrust),21,500.00,10500.00
VACCINES,HEPA A,N/A,4,2500.00,10000.00
LABS,CLINICAL CHEMISTRY,HIV Screening,15,650.00,9750.00
MEDS,MEDICINE,Ferrous + Folic Acid (Prenat),757,12.00,9084.00
SERVICES,Cardio,N/A,13,683.46,8885.00
VACCINES,MENINGO,N/A,2,4000.00,8000.00
MEDS,MEDICINE,Evening Primrose (PRIMAVIX),226,35.00,7910.00
LABS,HEMATOLOGY,Complete Blood Count (CBC),19,400.00,7600.00
Surgeon,Surgery Procedure (7500),N/A,1,7500.00,7500.00
MEDS,MEDICINE,Metindaz,56,124.20,6955.00
LABS,CLINICAL MICROSCOPY,Urinalysis,33,200.00,6600.00
LABS,PACKAGES,Blood Chemistry (Hypertension),2,3200.00,6400.00
LABS,MICROBIOLOGY,Urine C-S,7,800.00,5600.00
MEDS,MEDICINE,Folic Acid (Quatrofol),368,15.00,5520.00
Surgeon,Surgery Procedure (5500),N/A,1,5500.00,5500.00
OTHERS,Catheter Change,N/A,4,1366.00,5464.00
MEDS,MEDICINE,Gestron,84,65.00,5460.00
MEDS,MEDICINE,Clindamycin Phosphate (Vagclr-M),21,250.00,5250.00
UTZ,OBSTETRICS and GYNECOLOGY,TVS w Follicle Monitoring,3,1700.00,5100.00
UTZ,OBSTETRICS and GYNECOLOGY,3D-4D Ultrasound,2,2500.00,5000.00
UTZ,OBSTETRICS and GYNECOLOGY,Transrectal,4,1200.00,4800.00
UTZ,OBSTETRICS and GYNECOLOGY,CERVICAL LENGTH,7,682.14,4775.00
MEDS,MEDICINE,Isoxsuprine Hcl (Duvaprine),176,25.00,4400.00
MEDS,OTHERS,DERMLIN,2,2000.00,4000.00
UTZ,OBSTETRICS and GYNECOLOGY,BPS + Biometry w- Cervical Length,2,2000.00,4000.00
LABS,PACKAGES,Lipid Profile,4,1000.00,4000.00
MEDS,MEDICINE,Evening Primrose (Primdin),101,35.00,3535.00
UTZ,OBSTETRICS and GYNECOLOGY,Cervical Length,5,700.00,3500.00
LABS,OTHERS,HbA1c,6,550.00,3300.00
LABS,CLINICAL CHEMISTRY,FBS,5,650.00,3250.00
MEDS,MEDICINE,Mommalac,224,14.28,3199.00
MEDS,MEDICINE,Dydrogesterone (Duphaston),37,85.00,3145.00
VACCINES,TYPHOID,N/A,1,3000.00,3000.00
LABS,CLINICAL CHEMISTRY,HBsAg Screening,6,450.00,2700.00
LABS,CLINICAL CHEMISTRY,VDRL-RPR,6,450.00,2700.00
UTZ,GENERAL ULTRASOUND,Kidneys Ureters and Bladder (KUB),2,1275.00,2550.00
UTZ,OBSTETRICS and GYNECOLOGY,Fetal - Maternal Doppler Velocimetry,1,2500.00,2500.00
SERVICES,IM,N/A,3,800.00,2400.00
LABS,HEMATOLOGY,ABO RH Typing,8,300.00,2400.00
SERVICES,IUD removal,N/A,1,2300.00,2300.00
UTZ,GENERAL ULTRASOUND,Cranial Ultrasound (Pedia),1,2200.00,2200.00
LABS,CLINICAL CHEMISTRY,Creatinine,7,300.00,2100.00
MEDS,MEDICINE,Methylergometrine (Ergojen),84,25.00,2100.00
UTZ,OBSTETRICS and GYNECOLOGY,Placental Localization,3,700.00,2100.00
MEDS,MEDICINE,Mupirocin Ointment (Mupiderm),8,250.00,2000.00
MEDS,MEDICINE,Medroxyprogesterone (DB-10),25,80.00,2000.00
UTZ,GENERAL ULTRASOUND,Whole Abdomen (to r-o acute appendicitis),1,1900.00,1900.00
SERVICES,IMPLANT REMOVAL,N/A,1,1800.00,1800.00
LABS,OTHERS,Rubella IgG,1,1800.00,1800.00
LABS,CLINICAL CHEMISTRY,Blood Urea Nitrogen (BUN),6,300.00,1800.00
Pedia Medicines,"Salinase Max ""Nasal Spray Drops""",N/A,7,250.00,1750.00
LABS,CLINICAL CHEMISTRY,Potassium,5,350.00,1750.00
LABS,HEMATOLOGY,Platelet Count (PC),7,250.00,1750.00
LABS,PACKAGES,Buntis Package A,1,1700.00,1700.00
UTZ,GENERAL ULTRASOUND,Neck Ultrasound (Thyroid Submandibular and Lymph N,1,1700.00,1700.00
VACCINES,PPD,N/A,3,500.00,1500.00
VACCINES,BCG,N/A,1,1500.00,1500.00
LABS,CLINICAL CHEMISTRY,SGPT,6,250.00,1500.00
MEDS,OTHERS,Feminine Wash (Femcare),6,250.00,1500.00
UTZ,GENERAL ULTRASOUND,Thyroid Ultrasound,1,1400.00,1400.00
LABS,CLINICAL CHEMISTRY,Sodium,4,350.00,1400.00
LABS,CLINICAL CHEMISTRY,SGOT,5,250.00,1250.00
LABS,MICROBIOLOGY,Gram Stain,2,600.00,1200.00
MEDS,FAMILY PLANNING,FAYE,2,600.00,1200.00
UTZ,GENERAL ULTRASOUND,Soft Tissue Ultrasound (ex. Axillary),1,1200.00,1200.00
MEDS,MEDICINE,Clindamycin (Vagilin),7,170.00,1190.00
UTZ,GENERAL ULTRASOUND,Lower Abdomen (KUB plus Prostate OR Pelvic Structure,1,1150.00,1150.00
MEDS,MEDICINE,Vitamin C + Zinc (Pearly-C),95,12.00,1140.00
LABS,CLINICAL CHEMISTRY,Magnesium,2,500.00,1000.00
SERVICES,Ear Piercing,N/A,1,1000.00,1000.00
OTHERS,Admin Fee,N/A,4,250.00,1000.00
UTZ,GENERAL ULTRASOUND,Prostate Gland only,1,1000.00,1000.00
MEDS,MEDICINE,Momalac,60,15.00,900.00
LABS,CLINICAL CHEMISTRY,Uric Acid,3,300.00,900.00
MEDS,MEDICINE,Calcium Carbonate + D3 (Calcidin),70,12.00,840.00
Pedia Medicines,Nasatapp Drops,N/A,5,150.00,750.00
MEDS,OTHERS,Pregnancy Test,6,120.00,720.00
MEDS,MEDICINE,Folic Acid (Folitrene),40,15.00,600.00
MEDS,FAMILY PLANNING,ALTHEA,1,600.00,600.00
LABS,CLINICAL CHEMISTRY,Ionized Calcium,1,600.00,600.00
Pedia Medicines,Vivalyte,N/A,6,100.00,600.00
MEDS,MEDICINE,Isoxsuprine Hcl (Duvatrene),21,25.00,525.00
MEDS,MEDICINE,Clomifene Citrate (Ova-mit),5,100.00,500.00
LABS,OTHERS,Hepa Titer,1,500.00,500.00
Pedia Medicines,Hydroaid,N/A,5,100.00,500.00
Pedia Medicines,Iron B + Complex (Ferlin),N/A,2,250.00,500.00
Pedia Medicines,Azithromycin (Azythrex),N/A,1,500.00,500.00
MEDS,MEDICINE,Cefurox,14,35.00,490.00
MEDS,MEDICINE,Cefuroxime Axetil (Uroxime),14,35.00,490.00
Pedia Medicines,Paracetamol Drops (Tempra),N/A,3,150.00,450.00
LABS,CLINICAL CHEMISTRY,LDH,1,350.00,350.00
LABS,CLINICAL CHEMISTRY,Chloride,1,350.00,350.00
LABS,OTHERS,Phosphorus,1,350.00,350.00
Pedia Medicines,Cetirizine Hydrochloride (Allercon-25),N/A,2,150.00,300.00
Pedia Medicines,Provits 120 ml,N/A,1,250.00,250.00
LABS,CLINICAL MICROSCOPY,Fecalysis,1,250.00,250.00
MEDS,OTHERS,Drysheet - Underpad,5,50.00,250.00
Pedia Medicines,Zinc Sulfate (E-Zinc) 15ml,N/A,2,120.00,240.00
MEDS,OTHERS,Gauze 4x4,35,6.00,210.00
Surgeon,Surgery Procedure (100),N/A,2,100.00,200.00
Pedia Medicines,Zinc Oxide +Calamine (Calmoseptine),N/A,4,50.00,200.00
SERVICES,Clinic Fee,N/A,1,150.00,150.00
MEDS,OTHERS,"Micropore 1""",3,50.00,150.00
MEDS,OTHERS,Wee bag,5,15.00,75.00
MEDS,MEDICINE,Methyldopa,2,25.00,50.00
MEDS,OTHERS,Urine Container,4,10.00,40.00
