Category,Item,Option,Quantity,Price Per Unit,Total Revenue
Services,Cardio,N/A,5,771.40,"3,857.00"
Ultrasound,General Ultrasound,Inguinoscrotal Ultrasound (with doppler),2,"1,900.00","3,800.00"
Medicines,Medicine,Metindaz,28,130.00,"3,640.00"
Laboratory,Packages,Buntis Package A,2,"1,700.00","3,400.00"
Laboratory,Hematology,ABO RH Typing,11,300.00,"3,300.00"
Laboratory,Clinical Chemistry,VDRL-RPR,7,450.00,"3,150.00"
Laboratory,Clinical Chemistry,FBS,5,626.80,"3,134.00"
Laboratory,Packages,Lipid Profile,3,"1,000.00","3,000.00"
Medicines,Medicine,Dydrogesterone (Duphaston),34,85.00,"2,890.00"
Ultrasound,General Ultrasound,Thyroid Ultrasound,2,"1,400.00","2,800.00"
Laboratory,Hematology,Platelet Count (PC),11,250.00,"2,750.00"
Laboratory,Clinical Chemistry,HBsAg Screening,6,450.00,"2,700.00"
Medicines,Medicine,Multivitamins (Obtrene),213,12.00,"2,556.00"
Medicines,Sodermix,N/A,1,"2,500.00","2,500.00"
Laboratory,OTHERS,PSA  (Prostate),1,"2,418.00","2,418.00"
Ultrasound,General Ultrasound,Soft Tissue Ultrasound (ex. Axillary),2,"1,200.00","2,400.00"
Medicines,Medicine,Ferrous + FA (Feofer),196,12.00,"2,352.00"
Services,IUD removal,N/A,1,"2,300.00","2,300.00"
Laboratory,OTHERS,HbA1c,4,550.00,"2,200.00"
Medicines,OTHERS,Pregnancy Test,18,120.00,"2,160.00"
Ultrasound,OBGYN Consult,Cervical Length,3,700.00,"2,100.00"
Ultrasound,OBGYN Consult,Doppler,2,"1,000.00","2,000.00"
Ultrasound,OBGYN Consult,BPS + Biometry w- Cervical Length,1,"2,000.00","2,000.00"
Medicines,Medicine,Methylergometrine (Ergojen),78,25.00,"1,950.00"
Services,Implant Removal,N/A,1,"1,800.00","1,800.00"
Medicines,Family Planning,ALTHEA,3,600.00,"1,800.00"
Laboratory,OTHERS,Wet Smear,3,600.00,"1,800.00"
Laboratory,Microbiology,Gram Stain,3,600.00,"1,800.00"
Pediatric Medicines,Salinase Max,N/A,7,250.00,"1,750.00"
Services,IM,N/A,2,800.00,"1,600.00"
Ultrasound,General Ultrasound,Whole Abdomen (to r-o acute appendicitis),1,"1,561.00","1,561.00"
Vaccines,BCG,N/A,1,"1,500.00","1,500.00"
Medicines,Medicine,Cefuroxime Axetil (Aerox),42,35.00,"1,470.00"
Laboratory,OTHERS,NS1 Antigen,1,"1,400.00","1,400.00"
Medicines,OTHERS,Feminine Wash (Femcare),6,200.00,"1,200.00"
Medicines,Medicine,Evening Primrose (PRIMAVIX),33,35.00,"1,155.00"
Ultrasound,General Ultrasound,Lower Abdomen (KUB plus Prostate OR Pelvic Structure),1,"1,150.00","1,150.00"
Laboratory,Clinical Chemistry,HbA1c,2,550.00,"1,100.00"
Pediatric Medicines,Cetirizine Drops Allerkid Drops,N/A,6,180.00,"1,080.00"
Medicines,Medicine,Isoxsuprine Hcl (Duvaprine),42,25.00,"1,050.00"
Pediatric Medicines,Azithromycin (Azythrex),N/A,2,500.00,"1,000.00"
Ultrasound,General Ultrasound,Prostate Gland only,1,"1,000.00","1,000.00"
Ultrasound,OBGYN Consult,Follicle Monitoring,2,500.00,"1,000.00"
Pediatric Medicines,Vivalyte,N/A,10,100.00,"1,000.00"
Laboratory,OTHERS,Dengue Duo,1,920.00,920.00
Medicines,Medicine,Momalac,60,15.00,900.00
Pediatric Medicines,Cetirizine Syrup Allerkid Syrup,N/A,3,300.00,900.00
Medicines,OTHERS,Drysheet - Underpad,17,50.00,850.00
Laboratory,Microbiology,Urine C-S,1,800.00,800.00
Medicines,Medicine,Folic Acid (Folitrene),50,15.00,750.00
Laboratory,Clinical Chemistry,SGPT,3,250.00,750.00
Laboratory,Clinical Chemistry,TSH,1,650.00,650.00
Pediatric Medicines,Nutri 10 plus drops,N/A,3,200.00,600.00
Laboratory,OTHERS,KOH,1,600.00,600.00
Pediatric Medicines,Nasatapp Syrup,N/A,4,150.00,600.00
Pediatric Medicines,Nasatapp Drops,N/A,4,150.00,600.00
Laboratory,OTHERS,Serum Preg Test,2,300.00,600.00
Laboratory,Clinical Chemistry,Uric Acid,2,300.00,600.00
Laboratory,Clinical Chemistry,Creatinine,2,300.00,600.00
Medicines,Medicine,Trufit,21,25.00,525.00
Medicines,Medicine,Isoxsuprene Hcl (Duvatrene),21,25.00,525.00
Laboratory,Clinical Chemistry,SGOT,2,250.00,500.00
Pediatric Medicines,Zinc Oxide +Calamine (Calmoseptine),N/A,10,50.00,500.00
Services,Clinic Fee,N/A,3,150.00,450.00
Pediatric Medicines,Salbutamol,N/A,15,30.00,450.00
Laboratory,Clinical Chemistry,T4,1,450.00,450.00
Laboratory,Clinical Chemistry,T3,1,450.00,450.00
Medicines,Medicine,Mommalac,28,15.00,420.00
Pediatric Medicines,Ceelin Syrup 120ml,N/A,2,200.00,400.00
Pediatric Medicines,Ceelin Drops 30ml,N/A,2,170.00,340.00
Pediatric Medicines,Paracetamol Drops Biogesic Drops,N/A,3,100.00,300.00
Laboratory,Clinical Chemistry,Blood Urea Nitrogen (BUN),1,300.00,300.00
Laboratory,Clinical Microscopy,Fecalysis,1,250.00,250.00
Pediatric Medicines,Appebon,N/A,1,200.00,200.00
Medicines,OTHERS,OGTT Juice,1,200.00,200.00
Pediatric Medicines,Vitamin C and Zinc Ceelin Plus Syrup,N/A,1,180.00,180.00
Pediatric Medicines,Paracetamol Drops (Tempra),N/A,1,150.00,150.00
Pediatric Medicines,Zinc Sulfate (E-Zinc) 15ml,N/A,1,120.00,120.00
Medicines,Medicine,Multivitamins (Medcare OB),4,12.00,48.00
Pediatric Medicines,Zinc Oxide + Calamine (Saphclamine),N/A,1,40.00,40.00
