Category,Item,Option,Quantity,Piece Per Unit,Total Profit
VACCINES,TD,N/A,21,860.00,18060.00
UTZ,OBSTETRICS and GYNECOLOGY,Biometry,15,1200.00,18000.00
Surgeon,"Surgery Procedure (17,000)",N/A,1,17000.00,17000.00
VACCINES,TT,N/A,32,500.00,16000.00
VACCINES,MMR,N/A,6,2450.00,14700.00
VACCINES,MENINGO,N/A,3,4000.00,12000.00
MEDS,MEDICINE,Ferrous + Folic Acid (Prenat),937,12.00,11244.00
UTZ,OBSTETRICS and GYNECOLOGY,Transrectal,9,1200.00,10800.00
VACCINES,VARICELLA,N/A,3,3500.00,10500.00
UTZ,GENERAL ULTRASOUND,Scrotal Ultrasound (with Doppler),6,1700.00,10200.00
VACCINES,HEPA A,N/A,4,2500.00,10000.00
MEDS,FAMILY PLANNING,DMPA (Depotrust),19,500.00,9500.00
MEDS,OTHERS,Tuli After Care Package,11,850.00,9350.00
LABS,HEMATOLOGY,Complete Blood Count (CBC),22,400.00,8800.00
MEDS,MEDICINE,Gestron,134,65.00,8710.00
MEDS,MEDICINE,Heragest,133,65.00,8645.00
MEDS,MEDICINE,Evening Primrose (Primdin),231,35.00,8085.00
UTZ,GENERAL ULTRASOUND,Whole Abdomen,5,1578.40,7892.00
LABS,CLINICAL CHEMISTRY,HIV Screening,12,650.00,7800.00
Surgeon,Surgery Procedure (7500),N/A,1,7500.00,7500.00
SERVICES,Surgery Consult,N/A,12,600.00,7200.00
UTZ,GENERAL ULTRASOUND,Breast - Chest Ultrasound (Bilateral),4,1700.00,6800.00
MEDS,MEDICINE,Folic Acid (Quatrofol),435,15.00,6525.00
Surgeon,Surgery Procedure (6500),N/A,1,6500.00,6500.00
VACCINES,MMRV,N/A,1,6500.00,6500.00
LABS,CLINICAL CHEMISTRY,FBS,9,650.00,5850.00
MEDS,MEDICINE,Metindaz,42,130.00,5460.00
LABS,PACKAGES,Lipid Profile,6,863.17,5179.00
UTZ,OBSTETRICS and GYNECOLOGY,TVS w Follicle Monitoring,3,1700.00,5100.00
SERVICES,Ear Piercing,N/A,5,1000.00,5000.00
Surgeon,Surgery Procedure (4500),N/A,2,2500.00,5000.00
SERVICES,IM,N/A,6,800.00,4800.00
MEDS,MEDICINE,Clindamycin (Vagilin),28,170.00,4760.00
SERVICES,IUD insertion,N/A,2,2300.00,4600.00
LABS,CLINICAL MICROSCOPY,Urinalysis,23,200.00,4600.00
MEDS,MEDICINE,Dydrogesterone (Duphaston),51,85.00,4335.00
SERVICES,Cardio,N/A,6,704.67,4228.00
UTZ,OBSTETRICS and GYNECOLOGY,Cervical Length,6,700.00,4200.00
LABS,MICROBIOLOGY,Urine C-S,5,800.00,4000.00
MEDS,MEDICINE,Medroxyprogesterone (DB-10),42,80.00,3360.00
LABS,HEMATOLOGY,ABO RH Typing,11,300.00,3300.00
MEDS,MEDICINE,Vitamin C + Zinc (Pearly-C),264,12.00,3168.00
VACCINES,TYPHOID,N/A,1,3000.00,3000.00
MEDS,FAMILY PLANNING,FAYE,5,600.00,3000.00
VACCINES,IPV,N/A,3,1000.00,3000.00
MEDS,OTHERS,Feminine Wash (Femcare),12,250.00,3000.00
VACCINES,PPD,N/A,6,500.00,3000.00
UTZ,GENERAL ULTRASOUND,Kidneys Ureters and Bladder (KUB),2,1400.00,2800.00
LABS,HEMATOLOGY,Platelet Count (PC),11,250.00,2750.00
Surgeon,Surgery Procedure (2500),N/A,1,2500.00,2500.00
UTZ,OBSTETRICS and GYNECOLOGY,Fetal - Maternal Doppler Velocimetry,1,2500.00,2500.00
MEDS,MEDICINE,Mupirocin Ointment (Mupiderm),10,250.00,2500.00
LABS,CLINICAL CHEMISTRY,VDRL-RPR,5,450.00,2250.00
LABS,CLINICAL CHEMISTRY,HBsAg Screening,5,450.00,2250.00
UTZ,GENERAL ULTRASOUND,Cranial Ultrasound (Pedia),1,2200.00,2200.00
LABS,OTHERS,HbA1c,4,550.00,2200.00
MEDS,MEDICINE,Mommalac,141,15.00,2115.00
UTZ,GENERAL ULTRASOUND,Inguinoscrotal Ultrasound (with doppler),1,1900.00,1900.00
MEDS,MEDICINE,Evening Primrose (PRIMAVIX),54,35.00,1890.00
SERVICES,IMPLANT REMOVAL,N/A,1,1800.00,1800.00
LABS,CLINICAL CHEMISTRY,Creatinine,6,300.00,1800.00
LABS,CLINICAL CHEMISTRY,Blood Urea Nitrogen (BUN),6,300.00,1800.00
UTZ,GENERAL ULTRASOUND,Neck Ultrasound (Thyroid Submandibular and Lymph N,1,1700.00,1700.00
LABS,PACKAGES,Buntis Package A,1,1700.00,1700.00
OTHERS,Admin Fee - Doc Claveria,N/A,1,1500.00,1500.00
UTZ,OBSTETRICS and GYNECOLOGY,CERVICAL LENGTH,2,700.00,1400.00
MEDS,OTHERS,Pregnancy Test,11,120.00,1320.00
LABS,CLINICAL CHEMISTRY,SGOT,5,250.00,1250.00
LABS,CLINICAL CHEMISTRY,SGPT,5,250.00,1250.00
OTHERS,Catheter Change,N/A,1,1232.00,1232.00
LABS,OTHERS,KOH,2,600.00,1200.00
LABS,MICROBIOLOGY,Gram Stain,2,600.00,1200.00
MEDS,MEDICINE,Cefurox,30,35.00,1050.00
LABS,CLINICAL CHEMISTRY,Potassium,3,350.00,1050.00
LABS,CLINICAL CHEMISTRY,Sodium,3,350.00,1050.00
MEDS,MEDICINE,Cefuroxime Axetil (Aerox),28,35.00,980.00
LABS,OTHERS,Beta Hcg,1,900.00,900.00
MEDS,MEDICINE,Methylergometrine (Ergojen),32,25.00,800.00
Pedia Medicines,"Salinase Max ""Nasal Spray Drops""",N/A,3,250.00,750.00
MEDS,MEDICINE,Momalac,50,15.00,750.00
MEDS,OTHERS,Dexa,1,750.00,750.00
UTZ,OBSTETRICS and GYNECOLOGY,Placental Localization,1,700.00,700.00
LABS,CLINICAL CHEMISTRY,TSH,1,650.00,650.00
MEDS,MEDICINE,Metformin,42,15.00,630.00
LABS,OTHERS,Wet Smear,1,600.00,600.00
MEDS,OTHERS,Drysheet - Underpad,11,50.00,550.00
Pedia Medicines,Azithromycin (Azythrex),N/A,1,500.00,500.00
UTZ,OBSTETRICS and GYNECOLOGY,Follicle Monitoring,1,500.00,500.00
LABS,CLINICAL MICROSCOPY,Fecalysis,2,250.00,500.00
Pedia Medicines,Vivalyte,N/A,5,100.00,500.00
LABS,CLINICAL CHEMISTRY,Amylase,1,500.00,500.00
LABS,CLINICAL CHEMISTRY,Magnesium,1,411.00,411.00
Pedia Medicines,Simeticone (Restime),N/A,2,200.00,400.00
LABS,CLINICAL CHEMISTRY,Chloride,1,350.00,350.00
LABS,CLINICAL CHEMISTRY,Alkaline Phosphatase,1,350.00,350.00
LABS,CLINICAL CHEMISTRY,Uric Acid,1,300.00,300.00
LABS,OTHERS,Serum Preg Test,1,300.00,300.00
Pedia Medicines,Nasatapp Drops,N/A,2,150.00,300.00
OTHERS,Admin Fee,N/A,1,250.00,250.00
Pedia Medicines,Provits 120 ml,N/A,1,250.00,250.00
LABS,CLINICAL CHEMISTRY,Total Calcium,1,250.00,250.00
LABS,CLINICAL CHEMISTRY,Cholesterol,1,200.00,200.00
Pedia Medicines,Appebon,N/A,1,200.00,200.00
Pedia Medicines,Tempra Syrup,N/A,1,200.00,200.00
Pedia Medicines,Cetirizine Drops Allerkid Drops,N/A,1,180.00,180.00
SERVICES,Clinic Fee,N/A,1,150.00,150.00
MEDS,OTHERS,Gauze 4x4,20,6.00,120.00
MEDS,OTHERS,"Micropore 1""",2,50.00,100.00
MEDS,OTHERS,Speculum,2,50.00,100.00
Pedia Medicines,Zinc Oxide +Calamine (Calmoseptine),N/A,2,50.00,100.00
MEDS,OTHERS,Wee bag,5,15.00,75.00
MEDS,OTHERS,Urine Container,6,10.00,60.00
