Category,Item,Option,Quantity,Price Per Unit,Total Profit
Medicines,OTHERS,Tuli After Care Package,1,850.00,850.00
Medicines,Medicine,Dydrogesterone (Duphaston),10,85.00,850.00
Laboratory,Clinical Chemistry,SGPT,4,212.50,850.00
Others,Catheter Change,N/A,1,821.00,821.00
Others,Catheter Change,N/A,1,821.00,821.00
Medicines,Medicine,Mommalac,53,15.00,795.00
Pediatric Medicines,"Salinase Max ""Nasal Spray Drops""",N/A,3,250.00,750.00
Medicines,Medicine,Dexamethasone Sodium Phosphate (Mohsidex),1,750.00,750.00
Medicines,Medicine,Trufit,29,25.00,725.00
Laboratory,OTHERS,Prolactin,1,700.00,700.00
Ultrasound,OBGYN Consult,Cervical Length,1,700.00,700.00
Medicines,Medicine,Isoxsuprene Hcl (Duvatrene),27,25.00,675.00
Laboratory,Clinical Chemistry,TSH,1,650.00,650.00
Laboratory,Clinical Chemistry,FT4,1,650.00,650.00
Medicines,Family Planning,ALTHEA,1,600.00,600.00
Laboratory,Clinical Chemistry,SGOT,3,200.00,600.00
Pediatric Medicines,Azithromycin (Azythrex),N/A,1,500.00,500.00
Laboratory,Clinical Chemistry,Magnesium,1,500.00,500.00
Pediatric Medicines,Paracetamol Drops (Tempra),N/A,3,150.00,450.00
Medicines,Medicine,Metformin,28,15.00,420.00
Laboratory,Clinical Microscopy,Fecal Occult Blood,1,400.00,400.00
Laboratory,Clinical Chemistry,Sodium,1,350.00,350.00
Laboratory,Clinical Chemistry,Potassium,1,350.00,350.00
Medicines,OTHERS,Drysheet - Underpad,7,50.00,350.00
Medicines,Medicine,Momalac,20,15.00,300.00
Services,Clinic Fee,N/A,2,150.00,300.00
Pediatric Medicines,Nasatapp Syrup,N/A,2,150.00,300.00
Laboratory,Clinical Microscopy,Fecalysis,1,250.00,250.00
Laboratory,Clinical Chemistry,Total Calcium,1,250.00,250.00
Medicines,Medicine,Methylergometrine (Ergojen),9,25.00,225.00
Pediatric Medicines,Vivalyte,N/A,2,100.00,200.00
Pediatric Medicines,Zinc Oxide +Calamine (Calmoseptine),N/A,3,50.00,150.00
Pediatric Medicines,Nasatapp Drops,N/A,1,150.00,150.00
Medicines,OTHERS,Urine Container,12,10.00,120.00
Medicines,OTHERS,Wee bag,7,15.00,105.00
Pediatric Medicines,"Amoxicillin ""Himox""",N/A,2,50.00,100.00
Medicines,Medicine,Methyldopa,4,22.50,90.00
