Category,Item,Option,Quantity,Price per Unit,Total Profit
MEDS,MEDICINE,Cholecalciferol + Calcium (Calvit Gold),1248,15.00,"18,720.00"
UTZ,GENERAL ULTRASOUND,Whole Abdomen,11,"1,626.55","17,892.00"
VACCINES,MMR,N/A,7,"2,500.00","17,500.00"
SERVICES,Urologist Consult,N/A,22,793.50,"17,457.00"
UTZ,GENERAL ULTRASOUND,Breast - Chest Ultrasound (Bilateral),10,"1,635.60","16,356.00"
MEDS,OTHERS,Tuli After Care Package,19,850.00,"16,150.00"
SERVICES,Surgery Consult,N/A,27,596.04,"16,093.00"
MEDS,MEDICINE,Multivitamins (Mosvit Elite),749,18.00,"13,482.00"
Surgeon,Surgery Procedure (2500),N/A,5,"2,500.00","12,500.00"
MED CERT,MEDICAL CERTIFICATE W CTC,N/A,24,500.00,"12,000.00"
Surgeon,Surgery Procedure (11500),N/A,1,"11,500.00","11,500.00"
MEDS,FAMILY PLANNING,DMPA (Depotrust),23,500.00,"11,500.00"
UTZ,GENERAL ULTRASOUND,Scrotal Ultrasound (with Doppler),6,"1,700.00","10,200.00"
UTZ,OBSTETRICS and GYNECOLOGY,TVS w Follicle Monitoring,6,"1,700.00","10,200.00"
UTZ,OBSTETRICS and GYNECOLOGY,3D-4D Ultrasound,4,"2,500.00","10,000.00"
Surgeon,Surgery Procedure (9500),N/A,1,"9,500.00","9,500.00"
MEDS,MEDICINE,Ferrous + Folic Acid (Prenat),778,12.00,"9,336.00"
LABS,CLINICAL CHEMISTRY,HIV Screening,14,650.00,"9,100.00"
VACCINES,TYPHOID,N/A,3,"3,000.00","9,000.00"
MEDS,MEDICINE,Metindaz,69,130.00,"8,970.00"
MEDS,MEDICINE,Medroxyprogesterone (DB-10),112,77.46,"8,675.00"
VACCINES,MENINGO,N/A,2,"4,000.00","8,000.00"
LABS,MICROBIOLOGY,Urine C-S,10,800.00,"8,000.00"
LABS,HEMATOLOGY,Complete Blood Count (CBC),20,400.00,"8,000.00"
SERVICES,Ear Piercing,N/A,8,"1,000.00","8,000.00"
LABS,PACKAGES,Wellness Package,2,"3,642.00","7,284.00"
SERVICES,IM,N/A,9,784.11,"7,057.00"
UTZ,OBSTETRICS and GYNECOLOGY,Cervical Length,10,700.00,"7,000.00"
SERVICES,Cardio,N/A,9,711.11,"6,400.00"
MED CERT,SWAB,N/A,5,"1,200.00","6,000.00"
MEDS,OTHERS,DERMLIN,3,"2,000.00","6,000.00"
UTZ,OBSTETRICS and GYNECOLOGY,Transrectal,5,"1,200.00","6,000.00"
MEDS,MEDICINE,Evening Primrose (Primdin),167,35.00,"5,845.00"
Surgeon,Surgery Procedure (6500),N/A,1,"5,500.00","5,500.00"
Surgeon,Surgery Procedure (5500),N/A,1,"5,500.00","5,500.00"
MEDS,MEDICINE,Letrozole,35,150.00,"5,250.00"
MEDS,MEDICINE,Evening Primrose (PRIMAVIX),140,35.00,"4,900.00"
SERVICES,IUD removal,N/A,2,"2,300.00","4,600.00"
VACCINES,GARDASIL 4,N/A,1,"4,500.00","4,500.00"
LABS,CLINICAL CHEMISTRY,VDRL-RPR,9,450.00,"4,050.00"
LABS,PACKAGES,Lipid Profile,4,"1,000.00","4,000.00"
MED CERT,MEDICAL CERTIFICATE,N/A,8,500.00,"4,000.00"
UTZ,GENERAL ULTRASOUND,Inguinoscrotal Ultrasound (with doppler),2,"1,900.00","3,800.00"
MEDS,MEDICINE,Folic Acid (Quatrofol),246,15.00,"3,690.00"
MEDS,MEDICINE,Gestron,56,65.00,"3,640.00"
LABS,CLINICAL CHEMISTRY,HBsAg Screening,8,450.00,"3,600.00"
LABS,HEMATOLOGY,ABO RH Typing,12,300.00,"3,600.00"
UTZ,GENERAL ULTRASOUND,Soft Tissue Ultrasound (ex. Axillary),3,"1,200.00","3,600.00"
MEDS,MEDICINE,Heme Up,176,20.00,"3,520.00"
LABS,PACKAGES,Buntis Package A,2,"1,700.00","3,400.00"
LABS,CLINICAL MICROSCOPY,Urinalysis,17,200.00,"3,400.00"
LABS,PACKAGES,Blood Chemistry (Hypertension),1,"3,200.00","3,200.00"
MEDS,MEDICINE,Methylergometrine (Ergojen),126,25.00,"3,150.00"
MEDS,MEDICINE,Mommalac,200,15.00,"3,000.00"
LABS,HEMATOLOGY,Platelet Count (PC),11,250.00,"2,750.00"
MED CERT,Medical Certificate wo CTC,N/A,13,200.00,"2,600.00"
VACCINES,HEPA A,N/A,1,"2,500.00","2,500.00"
MEDS,OTHERS,Feminine Wash (Femcare),10,250.00,"2,500.00"
LABS,OTHERS,Wet Smear,4,600.00,"2,400.00"
MEDS,OTHERS,PregN/Acy Test,20,120.00,"2,400.00"
SERVICES,IUD insertion,N/A,1,"2,300.00","2,300.00"
LABS,OTHERS,HbA1c,4,550.00,"2,200.00"
MEDS,MEDICINE,Isoxsuprene Hcl (Duvatrene),83,25.00,"2,075.00"
UTZ,OBSTETRICS and GYNECOLOGY,BPS + Biometry w- Cervical Length,1,"2,000.00","2,000.00"
UTZ,OBSTETRICS and GYNECOLOGY,Doppler,2,"1,000.00","2,000.00"
LABS,CLINICAL CHEMISTRY,TSH,3,650.00,"1,950.00"
LABS,CLINICAL CHEMISTRY,FT4,3,650.00,"1,950.00"
LABS,CLINICAL CHEMISTRY,FBS,3,650.00,"1,950.00"
SERVICES,IMPLANT REMOVAL,N/A,1,"1,800.00","1,800.00"
UTZ,GENERAL ULTRASOUND,Neck Ultrasound (Thyroid Submandibular and Lymph N,1,"1,700.00","1,700.00"
VACCINES,Hepa B Adult,N/A,1,"1,500.00","1,500.00"
MED CERT,MEDICAL CERTIFICATE W/ CTC,N/A,3,500.00,"1,500.00"
MEDS,MEDICINE,Mupirocin Ointment (Mupiderm),6,250.00,"1,500.00"
UTZ,GENERAL ULTRASOUND,Kidneys Ureters and Bladder (KUB),1,"1,400.00","1,400.00"
UTZ,OBSTETRICS and GYNECOLOGY,Placental Localization,2,700.00,"1,400.00"
MEDS,MEDICINE,Cefurox,38,35.00,"1,330.00"
MEDS,MEDICINE,Folic Acid (Folitrene),88,15.00,"1,320.00"
LABS,OTHERS,Quantitative Beta-Hcg,1,"1,300.00","1,300.00"
OTHERS,Catheter Change,N/A,1,"1,232.00","1,232.00"
LABS,OTHERS,75 Gram OGTT,1,"1,200.00","1,200.00"
LABS,CLINICAL CHEMISTRY,HbA1c,2,550.00,"1,100.00"
MEDS,MEDICINE,Isoxsuprine Hcl (Duvaprine),42,25.00,"1,050.00"
MEDS,FAMILY PLANNING,DAPHNE,2,500.00,"1,000.00"
UTZ,Placental Doppler,N/A,1,"1,000.00","1,000.00"
LABS,CLINICAL CHEMISTRY,Lipid Profile,1,"1,000.00","1,000.00"
LABS,HEMATOLOGY,APTT,2,500.00,"1,000.00"
LABS,HEMATOLOGY,PROTIME (PT),2,500.00,"1,000.00"
MEDS,MEDICINE,Vitamin C + Zinc (Pearly-C),82,12.00,984.00
SERVICES,Clinic Fee,N/A,6,150.00,900.00
LABS,CLINICAL CHEMISTRY,SGOT,3,250.00,750.00
LABS,CLINICAL CHEMISTRY,SGPT,3,250.00,750.00
UTZ,OBSTETRICS and GYNECOLOGY,CERVICAL LENGTH,1,700.00,700.00
Pedia Medicines,Lactitol Monohydryate (Lactomax),N/A,1,600.00,600.00
LABS,OTHERS,KOH,1,600.00,600.00
LABS,CLINICAL CHEMISTRY,Creatinine,2,300.00,600.00
MEDS,OTHERS,Drysheet - Underpad,12,50.00,600.00
LABS,MICROBIOLOGY,Gram Stain,1,600.00,600.00
Pedia Medicines,Cetirizine (Temprazine),N/A,2,250.00,500.00
VACCINES,PPD,N/A,1,500.00,500.00
MEDS,MEDICINE,Cefuroxime Axetil (Aerox),14,35.00,490.00
Pedia Medicines,Tempra Syrup,N/A,2,200.00,400.00
MED CERT,Medical Certificate w/o CTC,N/A,2,200.00,400.00
MED CERT,Med Cert,N/A,2,200.00,400.00
LABS,CLINICAL CHEMISTRY,Sodium,1,350.00,350.00
LABS,CLINICAL CHEMISTRY,Potassium,1,350.00,350.00
MED CERT,CTC - utz,N/A,7,50.00,350.00
MEDS,MEDICINE,Dydrogesterone (Duphaston),4,85.00,340.00
Pedia Medicines,Ambroxol Hydrochloride (Cofzol),N/A,2,150.00,300.00
LABS,CLINICAL CHEMISTRY,Blood Urea Nitrogen (BUN),1,300.00,300.00
LABS,CLINICAL CHEMISTRY,Uric Acid,1,300.00,300.00
Pedia Medicines,Nasatapp Drops,N/A,2,150.00,300.00
Pedia Medicines,Salinase Spray,N/A,1,250.00,250.00
Pedia Medicines,"Salinase Max ""Nasal Spray Drops""",N/A,1,250.00,250.00
LABS,HEMATOLOGY,Bleeding Time (BT),1,210.00,210.00
LABS,HEMATOLOGY,Clotting Time (CT),1,210.00,210.00
MEDS,OTHERS,OGTT Juice,1,200.00,200.00
MEDS,MEDICINE,Methyldopa,7,25.00,175.00
MEDS,OTHERS,Gauze 4x4,27,6.00,162.00
MEDS,MEDICINE,Metformin,10,15.00,150.00
MEDS,OTHERS,Micropore Tape,1,50.00,50.00
MEDS,OTHERS,Micropore 1,1,50.00,50.00
"Micropore 1"" Medicines",Zinc Oxide +Calamine (Calmoseptine),N/A,1,50.00,50.00
MEDS,OTHERS,Wee bag,2,15.00,30.00
MEDS,OTHERS,Urine Container,1,10.00,10.00
