Category,Item,Option,Quantity,Price per Unit,Total Profit
LABS,CLINICAL CHEMISTRY,Anti HBc (IgG),1,450.00,450.00
LABS,CLINICAL CHEMISTRY,Anti HBs,1,450.00,450.00
MEDS,MEDICINE,Cefurox,27,16.00,432.00
MEDS,MEDICINE,Azithromycin,5,85.00,425.00
LABS,CLINICAL CHEMISTRY,LDH,1,350.00,350.00
Pedia Medicines,Cetirizine Syrup Allerkid Syrup,N/A,1,300.00,300.00
LABS,CLINICAL MICROSCOPY,Fecalysis,1,250.00,250.00
LABS,CLINICAL CHEMISTRY,Total Calcium,1,250.00,250.00
MEDS,MEDICINE,Evening Primrose (PRIMAVIX),6,35.00,210.00
Pedia Medicines,Provits 120 ml,N/A,1,200.00,200.00
Pedia Medicines,Nasatapp Drops,N/A,1,150.00,150.00
Surgeon,Surgery Procedure (100),N/A,2,75.00,150.00
Pedia Medicines,Paracetamol Drops (Tempra),N/A,1,150.00,150.00
MEDS,OTHERS,Wee bag,10,14.00,140.00
MED CERT,CTC - utz,N/A,1,50.00,50.00
MEDS,OTHERS,Urine Container,5,10.00,50.00
Pedia Medicines,Zinc Oxide + Calamine (Saphclamine),N/A,1,26.00,26.00
